Id,LicenseKey,ProgramId,CompanyId,CustomerGroupId,OwnerId,SubLicenseType,StartDate,ExpiryDate,MaxMembers,Status,CreatedAt,UpdatedAt
1,1001,1,1,1,1,1,2025-01-01,2026-01-01,5,Active,2025-01-01,
2,1002,2,2,1,2,2,2025-02-01,2026-02-01,10,Active,2025-02-01,
3,1003,3,3,1,3,1,2025-03-01,2026-03-01,50,Active,2025-03-01,
4,1004,4,4,1,4,1,2025-04-01,2026-04-01,10,Active,2025-04-01,
5,1005,5,5,2,5,2,2025-05-01,2026-05-01,5,Active,2025-05-01,
6,1006,1,1,1,1,3,2025-06-01,2026-06-01,15,Active,2025-06-01,
7,1007,2,2,2,2,1,2025-07-01,2026-07-01,20,Active,2025-07-01,
8,1008,3,8,2,8,3,2025-01-15,2026-01-15,25,Suspended,2025-01-15,
9,1009,4,9,3,9,1,2025-02-15,2026-02-15,30,Active,2025-02-15,
10,1010,5,10,3,10,2,2025-03-15,2026-03-15,10,Active,2025-03-15,
11,1011,1,11,4,11,1,2025-04-15,2025-10-15,15,Expired,2025-04-15,
12,1012,2,12,3,12,2,2025-05-15,2026-05-15,20,Active,2025-05-15,
13,1013,3,13,5,13,3,2025-06-15,2026-06-15,5,Active,2025-06-15,
14,1014,4,14,4,14,1,2025-07-15,2026-07-15,10,Suspended,2025-07-15,
15,1015,5,15,4,15,2,2025-08-15,2026-08-15,5,Active,2025-08-15,
16,1016,1,16,1,16,1,2025-09-15,2026-09-15,20,Active,2025-09-15,
17,1017,2,17,5,17,3,2025-10-15,2026-10-15,10,Active,2025-10-15,
18,1018,3,18,2,18,2,2025-11-15,2026-11-15,15,Active,2025-11-15,
19,1019,4,19,5,19,1,2025-12-15,2026-12-15,25,Active,2025-12-15,
20,1020,5,20,3,20,3,2026-01-15,2027-01-15,5,Expired,2026-01-15,
21,1021,1,2,1,1,1,2026-02-01,2027-02-01,10,Active,2026-02-01,
22,1022,2,4,1,2,2,2026-03-01,2027-03-01,20,Active,2026-03-01,
