Id,Name,Industry,City,Phone,Email,Website,CreatedAt,UpdatedAt
1,TechCorp,Technology,New York,+1-212-555-0101,contact@techcorp.com,techcorp.com,2020-03-10,
2,InnovateLabs,"Research & Dev",San Francisco,+1-415-555-0102,hello@innovatelabs.com,innovatelabs.com,2019-07-22,
3,DataSystems,"Data Analytics",Los Angeles,+1-310-555-0103,info@datasystems.com,datasystems.com,2018-11-05,
4,CloudNext,"Cloud Services",Chicago,+1-312-555-0104,sales@cloudnext.com,cloudnext.com,2021-01-18,
5,FastTrack,Logistics,Houston,+1-713-555-0105,ops@fasttrack.com,fasttrack.com,2017-09-30,
6,SecureNet,Cybersecurity,Phoenix,+1-602-555-0106,support@securenet.com,securenet.com,2020-05-14,
7,SmartBuild,"Construction Tech",Philadelphia,+1-215-555-0107,info@smartbuild.com,smartbuild.com,2016-04-07,
8,VisionCore,"Media Technology",San Antonio,+1-210-555-0108,hello@visioncore.com,visioncore.com,2022-02-28,
9,FutureAI,"Artificial Intelligence",San Diego,+1-619-555-0109,team@futureai.com,futureai.com,2023-08-11,
10,PowerTech,"Energy Technology",Dallas,+1-214-555-0110,contact@powertech.com,powertech.com,2019-12-03,
11,QuantumEdge,"Quantum Computing",Austin,+1-512-555-0111,info@quantumedge.com,quantumedge.com,2023-03-20,
12,BrightPath,EdTech,Seattle,+1-206-555-0112,learn@brightpath.com,brightpath.com,2021-06-09,
13,NexaGroup,Consulting,Denver,+1-720-555-0113,hello@nexagroup.com,nexagroup.com,2018-08-17,
14,AlphaLogic,Software,Boston,+1-617-555-0114,dev@alphalogic.com,alphalogic.com,2020-10-06,
15,CoreWave,IoT,Miami,+1-305-555-0115,connect@corewave.com,corewave.com,2022-04-25,
16,PinnacleIO,Fintech,Atlanta,+1-404-555-0116,finance@pinnacleio.com,pinnacleio.com,2021-09-13,
17,SkyLink,Telecommunications,Portland,+1-503-555-0117,network@skylink.com,skylink.com,2017-02-19,
18,GridForce,Utilities,Minneapolis,+1-612-555-0118,grid@gridforce.com,gridforce.com,2016-11-08,
19,NovaSpark,"Clean Energy",Las Vegas,+1-702-555-0119,spark@novaspark.com,novaspark.com,2024-01-30,
20,ZenithTech,Biotech,Nashville,+1-615-555-0120,bio@zenithtech.com,zenithtech.com,2022-07-04,
